ALLELE	MODEL	ETA	NHIDDEN	ENCODING	PCC	MSE
A2902	ANN	1	3	bl	0.86834	0.0253784
A2902	ANN	1	3	sp	0.77284	0.0408439
A2902	ANN	1	5	bl	0.85409	0.0280878
A2902	ANN	1	5	sp	0.77550	0.0411663
B1801	ANN	0.1	2	bl	0.76549	0.0173125
B1801	ANN	0.1	2	sp	0.71861	0.0228573
B1801	ANN	0.1	3	bl	0.77660	0.0166064
B1801	ANN	0.1	3	sp	0.73301	0.0223462
B1801	ANN	0.1	5	bl	0.76555	0.0172324
B1801	ANN	0.1	5	sp	0.72802	0.0212147
B1801	ANN	0.5	2	bl	0.79888	0.0150713
B1801	ANN	0.5	2	sp	0.75006	0.0182961
B1801	ANN	0.5	3	bl	0.80473	0.0146878
B1801	ANN	0.5	3	sp	0.76254	0.017525
B1801	ANN	0.5	5	bl	0.80573	0.0146576
B1801	ANN	0.5	5	sp	0.75687	0.0178016
B1801	ANN	1	2	bl	0.81130	0.0142348
B1801	ANN	1	2	sp	0.74704	0.0184145
B1801	ANN	1	3	bl	0.82267	0.0134478
B1801	ANN	1	3	sp	0.76615	0.017246
B1801	ANN	1	5	bl	0.81627	0.0140406
B1801	ANN	1	5	sp	0.76129	0.0175447
A0203	ANN	0.1	2	bl	0.82762	0.0286371
A0203	ANN	0.1	2	sp	0.81817	0.0301006
A0203	ANN	0.1	3	bl	0.83011	0.0282229
A0203	ANN	0.1	3	sp	0.81991	0.0298332
