ALLELE	MODEL	WEIGHTALGO	LAMBDA	PCC	MSE
B1501	SMM	MC	5	0.61242	0.0245704
B1501	SMM	MC	10	0.60572	0.0256137
B1501	SMM	MC	50	0.56154	0.0349084
B4402	SMM	GD	0	0.54908	0.0329065
B4402	SMM	GD	0.02	0.57129	0.0291625
B4402	SMM	GD	0.1	0.62550	0.0221064
B4402	SMM	GD	1	0.65807	0.0181038
B4402	SMM	MC	0	0.17311	20.7373
B4402	SMM	MC	0.02	0.15114	7.07423
B4402	SMM	MC	0.1	0.26391	1.06982
B4402	SMM	MC	1	0.39101	0.0715732
B4402	SMM	GD	5	0.57918	0.0211014
B4402	SMM	GD	10	0.48681	0.02469
B4402	SMM	GD	50	0.24779	0.0361021
B4402	SMM	MC	5	0.54642	0.0298407
B4402	SMM	MC	10	0.56018	0.0251543
B4402	SMM	MC	50	0.37608	0.0395001
A0206	SMM	GD	0	0.73222	0.0406283
A0206	SMM	GD	0.02	0.73238	0.0405659
A0206	SMM	GD	0.1	0.73272	0.0403792
A0206	SMM	GD	1	0.73111	0.0397696
A0206	SMM	MC	0	0.73721	0.0418745
A0206	SMM	MC	0.02	0.72721	0.043303
A0206	SMM	MC	0.1	0.73426	0.040965
A0206	SMM	MC	1	0.75228	0.0372891
A0206	SMM	GD	5	0.71896	0.0403515
A0206	SMM	GD	10	0.70507	0.0420407
A0206	SMM	GD	50	0.62240	0.0536071
A0206	SMM	MC	5	0.74509	0.0373933
A0206	SMM	MC	10	0.74822	0.0372913
A0206	SMM	MC	50	0.69517	0.0523821
A3301	SMM	GD	0	0.64208	0.0335089
A3301	SMM	GD	0.02	0.64234	0.0334569
A3301	SMM	GD	0.1	0.64306	0.0332862
A3301	SMM	GD	1	0.64675	0.0322436
A3301	SMM	MC	0	0.56042	0.0475045
A3301	SMM	MC	0.02	0.56639	0.0459435
A3301	SMM	MC	0.1	0.59108	0.0410251
A3301	SMM	MC	1	0.60145	0.0393137
A3301	SMM	GD	5	0.64601	0.031545
A3301	SMM	GD	10	0.63783	0.0324903
A3301	SMM	GD	50	0.55507	0.0426268
A3301	SMM	MC	5	0.62965	0.0334922
A3301	SMM	MC	10	0.62236	0.033953
A3301	SMM	MC	50	0.56954	0.0416515
B5801	SMM	GD	0	0.66314	0.0209886
B5801	SMM	GD	0.02	0.66366	0.0209348
B5801	SMM	GD	0.1	0.66531	0.0207494
B5801	SMM	GD	1	0.67435	0.019674
B5801	SMM	MC	0	0.29775	0.137779
B5801	SMM	MC	0.02	0.27023	0.143934
B5801	SMM	MC	0.1	0.56284	0.0340613
B5801	SMM	MC	1	0.58318	0.0302758
B5801	SMM	GD	5	0.68302	0.01858
B5801	SMM	GD	10	0.67779	0.018891
B5801	SMM	GD	50	0.59826	0.0230881
B5801	SMM	MC	5	0.58815	0.026762
B5801	SMM	MC	10	0.60171	0.0251359
B5801	SMM	MC	50	0.53891	0.0330637
A2601	SMM	GD	0	0.51757	0.0238325
A2601	SMM	GD	0.02	0.51818	0.0237483
A2601	SMM	GD	0.1	0.52016	0.0234473
A2601	SMM	GD	1	0.53102	0.0216063
A2601	SMM	MC	0	0.40242	0.0451953
A2601	SMM	MC	0.02	0.38550	0.0528465
A2601	SMM	MC	0.1	0.38472	0.0515226
A2601	SMM	MC	1	0.40093	0.0403423
A2601	SMM	GD	5	0.51578	0.0197643
A2601	SMM	GD	10	0.50649	0.0196379
A2601	SMM	GD	50	0.40367	0.0228641
A2601	SMM	MC	5	0.45335	0.0274006
A2601	SMM	MC	10	0.46919	0.0252741
A2601	SMM	MC	50	0.45256	0.0299146
B0702	SMM	GD	0	0.71590	0.0253704
B0702	SMM	GD	0.02	0.71606	0.0253527
B0702	SMM	GD	0.1	0.71661	0.0252831
B0702	SMM	GD	1	0.72178	0.0246499
B0702	SMM	MC	0	0.67022	0.0334794
B0702	SMM	MC	0.02	0.68266	0.0316932
B0702	SMM	MC	0.1	0.67167	0.0330434
B0702	SMM	MC	1	0.70002	0.0290683
B0702	SMM	GD	5	0.73543	0.023202
B0702	SMM	GD	10	0.74400	0.0226312
B0702	SMM	GD	50	0.75131	0.0262478
B0702	SMM	MC	5	0.69970	0.0284219
B0702	SMM	MC	10	0.73171	0.0255815
B0702	SMM	MC	50	0.73269	0.030964
A6802	SMM	GD	0	0.66921	0.0437308
A6802	SMM	GD	0.02	0.66931	0.0436924
A6802	SMM	GD	0.1	0.66968	0.0435485
A6802	SMM	GD	1	0.67128	0.0424841
A6802	SMM	MC	0	0.67316	0.0445261
A6802	SMM	MC	0.02	0.67438	0.0437223
A6802	SMM	MC	0.1	0.68813	0.0413758
A6802	SMM	MC	1	0.69976	0.0393091
A6802	SMM	GD	5	0.66674	0.0412283
A6802	SMM	GD	10	0.65601	0.0416684
A6802	SMM	GD	50	0.57468	0.0493546
A6802	SMM	MC	5	0.70119	0.0376738
A6802	SMM	MC	10	0.71509	0.0363862
A6802	SMM	MC	50	0.66012	0.0499324
A2902	SMM	GD	0	0.57930	0.210308
A2902	SMM	GD	0.02	0.63805	0.1231
A2902	SMM	GD	0.1	0.67546	0.0789813
A2902	SMM	GD	1	0.70787	0.0566731
A2902	SMM	MC	0	0.11354	5.73193
A2902	SMM	MC	0.02	0.12658	3.34787
A2902	SMM	MC	0.1	0.18719	1.49378
A2902	SMM	MC	1	0.53060	0.128502
A2902	SMM	GD	5	0.72158	0.0503354
A2902	SMM	GD	10	0.69188	0.053997
A2902	SMM	GD	50	0.56194	0.0765089
A2902	SMM	MC	5	0.66408	0.066813
A2902	SMM	MC	10	0.67833	0.0637343
A2902	SMM	MC	50	0.58453	0.107016
B1801	SMM	GD	0	0.52758	0.0488447
B1801	SMM	GD	0.02	0.64734	0.0281646
B1801	SMM	GD	0.1	0.70522	0.0217036
B1801	SMM	GD	1	0.73900	0.0188847
B1801	SMM	MC	0	0.08238	15.6625
B1801	SMM	MC	0.02	0.05605	5.01952
B1801	SMM	MC	0.1	0.01950	1.07111
B1801	SMM	MC	1	0.46117	0.072001
B1801	SMM	GD	5	0.69940	0.0241252
B1801	SMM	GD	10	0.61262	0.0286324
B1801	SMM	GD	50	0.28275	0.0454716
B1801	SMM	MC	5	0.51823	0.037042
B1801	SMM	MC	10	0.49500	0.0375914
B1801	SMM	MC	50	0.25277	0.0590494
A0203	SMM	GD	0	0.73675	0.0435481
A0203	SMM	GD	0.02	0.73681	0.0435098
A0203	SMM	GD	0.1	0.73706	0.0433611
A0203	SMM	GD	1	0.73691	0.0426302
A0203	SMM	MC	0	0.73282	0.0449906
A0203	SMM	MC	0.02	0.73391	0.0442529
A0203	SMM	MC	0.1	0.73506	0.0440462
A0203	SMM	MC	1	0.76051	0.0393488
A0203	SMM	GD	5	0.72648	0.0429915
A0203	SMM	GD	10	0.71171	0.0447271
A0203	SMM	GD	50	0.64165	0.0549893
A0203	SMM	MC	5	0.77004	0.0372159
A0203	SMM	MC	10	0.76139	0.0389079
A0203	SMM	MC	50	0.70875	0.0563454
B4002	SMM	GD	0	0.54599	0.0327431
B4002	SMM	GD	0.02	0.58073	0.0290838
B4002	SMM	GD	0.1	0.66245	0.0226434
B4002	SMM	GD	1	0.68033	0.0218742
B4002	SMM	MC	0	-0.07647	18.7357
B4002	SMM	MC	0.02	-0.03159	6.02224
B4002	SMM	MC	0.1	0.00153	1.03234
B4002	SMM	MC	1	0.35704	0.0936355
B4002	SMM	GD	5	0.62033	0.0250535
B4002	SMM	GD	10	0.55334	0.0281231
B4002	SMM	GD	50	0.23357	0.042738
B4002	SMM	MC	5	0.47472	0.0372351
B4002	SMM	MC	10	0.45688	0.0387232
B4002	SMM	MC	50	0.17788	0.0573525
A1101	SMM	GD	0	0.75526	0.0375996
