Amb_a_1.0101_15 vs. Amb_a_1.0201_15,-0.19073032913815954,-0.12637362637362637,85.0,12.0,85.0,93.0,75.0,86.0,100.0,48.0,0.933873,88.88888888888889,42.0,88.88888888888889,42.0,88.88888888888889,42.0,1.71,3.65,1.94,1,1,8354.65
Amb_a_1.0101_15 vs. Amb_a_1.0304_15,0.12704182363256902,0.027472527472527472,80.0,12.0,80.0,100.0,80.0,100.0,100.0,54.0,0.963040,77.77777777777779,40.0,77.77777777777779,40.0,77.77777777777779,40.0,2.61,3.65,1.04,1,1,7791.2
Amb_a_1.0101_15 vs. Amb_a_1.0401_15,0.24264246584713423,0.29696969696969694,90.0,15.0,90.0,105.0,85.0,103.0,100.0,60.0,0.980372,0.0,-3.0,0.0,-3.0,0.0,-3.0,1.3900000000000001,3.65,2.26,1,1,8874.9
Amb_a_1.0101_15 vs. Amb_a_1.0501_15,-0.2151512118171901,-0.2606060606060606,65.0,5.0,65.0,77.0,60.0,77.0,77.77777777777779,50.0,0.899896,11.11111111111111,7.0,66.66666666666666,34.0,11.11111111111111,7.0,3.41,3.65,0.24,1,1,6278.35
Amb_a_1.0101_16 vs. Amb_a_1.0201_16,0.6996112596839473,0.5363636363636364,85.0,14.0,85.0,121.0,85.0,121.0,100.0,69.0,0.949662,88.88888888888889,54.0,88.88888888888889,54.0,88.88888888888889,54.0,1.44,2.26,0.82,1,2,8377.6
Amb_a_1.0101_16 vs. Amb_a_1.0304_16,0.48208185222490446,0.11188811188811189,85.0,14.0,85.0,120.0,85.0,119.0,100.0,69.0,0.942844,88.88888888888889,54.0,88.88888888888889,54.0,88.88888888888889,54.0,1.44,2.26,0.82,1,2,8377.6
Amb_a_1.0101_16 vs. Amb_a_1.0401_16,0.8772934680056005,0.7692307692307693,95.0,18.0,95.0,133.0,95.0,133.0,100.0,69.0,0.976342,22.22222222222222,-1.0,22.22222222222222,-1.0,22.22222222222222,-1.0,1.7599999999999998,2.26,0.5,1,3,9332.8
Amb_a_1.0101_16 vs. Amb_a_1.0501_16,0.4322579637408584,0.17575757575757575,85.0,14.0,85.0,126.0,85.0,126.0,88.88888888888889,65.0,0.920825,77.77777777777779,52.0,77.77777777777779,52.0,77.77777777777779,52.0,0.5499999999999998,2.26,1.71,1,1,8453.25
Amb_a_1.0101_17 vs. Amb_a_1.0201_17,0.5710463597143921,0.3140350877192983,70.0,8.0,70.0,103.0,70.0,103.0,77.77777777777779,58.0,0.872826,66.66666666666666,40.0,66.66666666666666,40.0,66.66666666666666,40.0,0.09999999999999998,0.4,0.5,3,2,6993.0
Amb_a_1.0101_17 vs. Amb_a_1.0401_17,0.8024668863334284,0.6433566433566434,75.0,10.0,75.0,115.0,75.0,115.0,88.88888888888889,62.0,0.943030,0.0,-10.0,0.0,-10.0,33.33333333333333,12.0,1.58,0.4,1.98,3,1,7381.5
Amb_a_1.0101_17 vs. Amb_a_1.0501_17,0.027406392134069184,-0.0879120879120879,75.0,10.0,75.0,110.0,75.0,110.0,88.88888888888889,65.0,0.888545,66.66666666666666,45.0,66.66666666666666,45.0,66.66666666666666,45.0,2.39,0.4,2.79,3,1,7320.75
Amb_a_1.0201_1 vs. Amb_a_1.0304_1,0.30840356814341124,0.16483516483516483,85.0,14.0,85.0,112.0,85.0,112.0,100.0,60.0,0.956205,66.66666666666666,40.0,66.66666666666666,40.0,66.66666666666666,40.0,0.010000000000000009,0.99,1.0,2,1,8499.15
Amb_a_1.0201_1 vs. Amb_a_1.0401_1,0.07486711469542956,0.0989010989010989,75.0,10.0,75.0,104.0,75.0,104.0,88.88888888888889,56.0,0.931164,66.66666666666666,40.0,0.0,-9.0,None,None,11.5,0.99,12.49,2,0,6637.5
Amb_a_1.0201_1 vs. Amb_a_1.0501_1,-0.23939995106008605,-0.18181818181818185,65.0,6.0,65.0,86.0,65.0,86.0,100.0,60.0,0.903209,11.11111111111111,-2.0,11.11111111111111,-10.0,None,None,31.73,0.99,32.72,2,0,4437.55
Amb_a_1.0201_2 vs. Amb_a_1.0304_2,-0.36041157712468325,-0.29696969696969694,85.0,14.0,85.0,102.0,85.0,102.0,100.0,55.0,0.953180,11.11111111111111,1.0,77.77777777777779,46.0,None,None,1.4700000000000006,8.85,10.32,0,0,8375.05
Amb_a_1.0201_2 vs. Amb_a_1.0401_2,0.08533602160039597,0.1384615384615385,10.0,-17.0,20.0,18.0,5.0,13.0,22.22222222222222,10.0,0.744636,22.22222222222222,-3.0,22.22222222222222,-3.0,None,None,5.83,8.85,3.02,0,3,941.7
Amb_a_1.0201_2 vs. Amb_a_1.0501_2,-0.9296414216117371,-0.8999999999999998,65.0,6.0,65.0,82.0,65.0,82.0,88.88888888888889,52.0,0.909714,11.11111111111111,-3.0,77.77777777777779,48.0,None,None,0.7799999999999994,8.85,8.07,0,0,6449.3
Amb_a_1.0201_3 vs. Amb_a_1.0304_3,0.5473822843464683,0.42857142857142866,95.0,18.0,95.0,124.0,95.0,124.0,100.0,62.0,0.996351,100.0,62.0,100.0,62.0,100.0,62.0,0.01999999999999999,0.24,0.22,4,4,9498.1
Amb_a_1.0201_3 vs. Amb_a_1.0401_3,0.4104280844130367,0.4545454545454546,75.0,9.0,75.0,93.0,70.0,88.0,100.0,57.0,0.913907,77.77777777777779,49.0,77.77777777777779,49.0,77.77777777777779,49.0,2.5,0.24,2.74,4,1,7312.5
Amb_a_1.0201_3 vs. Amb_a_1.0501_3,-0.1396354871274823,0.04761904761904763,80.0,12.0,80.0,115.0,80.0,115.0,88.88888888888889,57.0,0.958192,11.11111111111111,-9.0,88.88888888888889,57.0,88.88888888888889,57.0,0.04999999999999999,0.24,0.29,4,2,7996.0
Amb_a_1.0201_4 vs. Amb_a_1.0304_4,0.3578639320050834,0.3142857142857143,90.0,16.0,90.0,129.0,90.0,128.0,100.0,64.0,0.945002,11.11111111111111,-17.0,11.11111111111111,4.0,77.77777777777779,53.0,0.6399999999999999,1.04,1.68,5,2,8942.4
Amb_a_1.0201_4 vs. Amb_a_1.0401_4,0.19143876253933556,0.3186813186813187,75.0,9.0,75.0,106.0,70.0,101.0,77.77777777777779,54.0,0.871027,66.66666666666666,42.0,66.66666666666666,42.0,66.66666666666666,42.0,0.93,1.04,0.11,5,6,7430.249999999999
Amb_a_1.0201_4 vs. Amb_a_1.0501_4,0.055951892416259835,0.15604395604395604,70.0,8.0,70.0,103.0,70.0,103.0,77.77777777777779,54.0,0.879130,55.55555555555556,38.0,55.55555555555556,38.0,66.66666666666666,50.0,0.040000000000000036,1.04,1.0,5,3,6997.2
Amb_a_1.0201_5 vs. Amb_a_1.0304_5,0.6464169149907218,0.557142857142857,90.0,16.0,90.0,126.0,90.0,128.0,100.0,67.0,0.978139,100.0,64.0,100.0,64.0,100.0,64.0,0.0,0.15,0.15,4,4,9000.0
Amb_a_1.0201_5 vs. Amb_a_1.0401_5,0.33951508672402797,-0.15384615384615383,65.0,6.0,65.0,105.0,65.0,103.0,77.77777777777779,57.0,0.864510,77.77777777777779,57.0,77.77777777777779,57.0,77.77777777777779,57.0,0.21,0.15,0.36,4,3,6486.35
